Libro,Autor,Géneros,Puntaje
Quod nemo,Plinio Ballesteros Sureda,"Ciencia Ficción, Aventura",3
Neque quia cum architecto corrupti,Maxi Barrera Murillo,"Terror, Romance, Drama",1
Quaerat sapiente veritatis,Rafael Belmonte,"Terror, Histórico, Misterio",1
Minima dolore sit corrupti,Onofre Zamora Almagro,"Terror, Romance, Histórico",3
Repudiandae architecto,Rafael Belmonte,Romance,2
Cum sequi provident,Inmaculada Mulet Pinilla,Misterio,5
Beatae nemo aliquam,Plinio Ballesteros Sureda,"Terror, Histórico, Aventura",4
Quaerat aliquam dolores beatae,Inmaculada Mulet Pinilla,"Misterio, Fantasía",2
Sed consectetur,Luciana Saldaña Rozas,"Terror, Fantasía, Histórico",4
Nisi rerum non,Plinio Ballesteros Sureda,"Fantasía, Aventura, Misterio",3
Expedita iure,Fernanda Cañizares-Fiol,Drama,1
Esse debitis alias rerum ut,Aura Huerta Chico,"Fantasía, Histórico",3
Ducimus numquam,Onofre Noriega Ropero,Terror,2
Totam optio nulla,Plinio Ballesteros Sureda,Aventura,3
Dolore deserunt veniam voluptatem cumque,Teresa Baena,Fantasía,5
Quod nemo,Plinio Ballesteros Sureda,"Ciencia Ficción, Aventura",5
Delectus quisquam aliquam porro distinctio,Maxi Barrera Murillo,"Ciencia Ficción, Aventura",2
Harum minus praesentium modi,Rafael Belmonte,"Drama, Aventura",2
Nulla placeat accusantium,Rafael Garzón-Ariño,Drama,1
Quaerat voluptate quod,Paca Soledad Marquez Abella,"Drama, Aventura, Misterio",4
Corporis consequuntur commodi,Wilfredo Villalobos,"Romance, Aventura, Misterio",4
Quod nemo,Plinio Ballesteros Sureda,"Ciencia Ficción, Aventura",3
Eveniet nulla veniam iure,Ignacio Haroldo Roldan Lara,"Terror, Histórico",2
Accusamus dolor,Celso Albert Valero Martin,"Terror, Fantasía, Misterio",3
Ipsa eos dignissimos,Adolfo Rovira Oliva,"Fantasía, Ciencia Ficción, Drama",2
Eligendi vero vel earum,Inmaculada Mulet Pinilla,"Terror, Fantasía",5
Totam ipsam,Rosa María Mendoza,"Histórico, Aventura, Misterio",3
Cum odio earum unde aperiam,Aura Anastasia López Vidal,Aventura,4
Nostrum animi,Maxi Barrera Murillo,Aventura,4
Nisi rerum non,Plinio Ballesteros Sureda,"Fantasía, Aventura, Misterio",1
Quia et debitis,Maxi Barrera Murillo,Aventura,5
Dolore saepe omnis,Ignacio Haroldo Roldan Lara,"Romance, Ciencia Ficción, Aventura",1
Aut sapiente ab saepe,Juanito Canet-Recio,"Romance, Ciencia Ficción, Drama",3
Aliquid officiis at ex molestiae,Amada Ricart-Verdú,"Misterio, Terror",5
Sit ipsa accusantium,Apolonia Pallarès Suárez,Fantasía,3
Autem sequi praesentium minima,Amada Ricart-Verdú,"Fantasía, Ciencia Ficción, Aventura",5
Nulla placeat accusantium,Rafael Garzón-Ariño,Drama,4
Qui sed nihil veniam,Apolonia Borrás Cepeda,"Ciencia Ficción, Drama, Misterio",1
Labore magnam error consequuntur,Luna Sanjuan Gascón,"Romance, Ciencia Ficción",1
Blanditiis nemo expedita at,Rafael Garzón-Ariño,Romance,4
Quaerat sapiente veritatis,Rafael Belmonte,"Terror, Histórico, Misterio",3
Dicta veritatis,Aura Anastasia López Vidal,Terror,1
Ducimus numquam,Onofre Noriega Ropero,Terror,1
Doloremque eos numquam,Juanito Canet-Recio,"Ciencia Ficción, Histórico",3
Expedita in ratione,Rafael Belmonte,Histórico,3
Odit non,Paca Soledad Marquez Abella,"Histórico, Drama",5
Voluptatum totam,Concepción Royo,Fantasía,4
Repudiandae architecto,Rafael Belmonte,Romance,5
Sapiente laborum odio,Fernanda Cañizares-Fiol,"Ciencia Ficción, Aventura",1
Necessitatibus blanditiis,Apolonia Pallarès Suárez,"Histórico, Drama, Misterio",4
Consequuntur cum,Luna Sanjuan Gascón,Histórico,5
Sit pariatur aut molestiae illo,Inmaculada Mulet Pinilla,Aventura,5
Ex ex aut in,Ignacio Haroldo Roldan Lara,"Terror, Fantasía",5
Veritatis debitis repudiandae,Teresa Baena,"Terror, Histórico, Aventura",4
Dolore saepe omnis,Ignacio Haroldo Roldan Lara,"Romance, Ciencia Ficción, Aventura",4
Praesentium animi a perspiciatis,Apolonia Borrás Cepeda,Ciencia Ficción,3
Reprehenderit quos impedit vitae doloribus,Ignacio Haroldo Roldan Lara,"Terror, Romance, Misterio",5
